Applied,Title,Company,Location,Rating,Salary,Link,Dates Posted
no,Lead Data Scientist Intern,Iron Mountain,"Boston, MA 02133 (Back Bay-Beacon Hill area)",3.6,No reported salary,www.indeed.com/rc/clk?jk=7fbb9ca02f84fa8a&fccid=849a996a7e062132&vjs=3,30+
no,newData Science Intern,Schneider Electric,"Andover, MA 01810",3.9,No reported salary,www.indeed.com/rc/clk?jk=9b8852d09df36fea&fccid=8dc4399ddb463d4a&vjs=3,1
no,Machine Learning Intern (Remote),Julia Computing,"Remote in Boston, MA",No reported rating,Estimated $42.4K - $53.8K a year,www.indeed.com/viewjob?jk=e32f139116ae1b79,13
no,Internship - Data Science and Machine Learning (Information...,Boston Public Health Commission,"Boston, MA 02118 (South Boston area)",3.9,Estimated $38K - $48.2K a year,www.indeed.com/rc/clk?jk=79c7b83a4baec630&fccid=44e4fc28fead4ab4&vjs=3,18
no,Data Science Intern,Sophos,"Burlington, MA 01803",No reported rating,No reported salary,www.indeed.com/rc/clk?jk=fd14c1569a960eea&fccid=42762dc104fdf9ef&vjs=3,30+
no,Data Science & Artificial Intelligence (DxS) Intern,AstraZeneca Pharmaceuticals Inc,"Remote in Waltham, MA 02451",4.1,No reported salary,www.indeed.com/rc/clk?jk=de8d35446e80c190&fccid=003656df63cede32&vjs=3,30+
no,Machine Learning Intern,Precidiag Inc.,"Watertown, MA 02472 (Bemis area)",No reported rating,Estimated $47.4K - $60K a year,www.indeed.com/viewjob?jk=5f2b3a5c4bc9d68d,2
no,Summer Intern: Acorn AI Labs Data Science,Medidata Solutions,"Boston, MA 02116 (South End area)",3.6,Estimated $42K - $53.2K a year,www.indeed.com/rc/clk?jk=d387d42cffba42dd&fccid=3e34ac4ae73849ba&vjs=3,30+
no,Statistical SAS Programming Intern,Forma Therapeutics,"Watertown, MA 02472",4.0,Estimated $34.1K - $43.1K a year,www.indeed.com/rc/clk?jk=793de899733a1ed5&fccid=5eb64cb6c9d0fe21&vjs=3,30+
no,"Research Intern - Machine Learning, Statistics, and AutoML",Microsoft,"Cambridge, MA",4.2,No reported salary,www.indeed.com/rc/clk?jk=617ba1f73d92e640&fccid=734cb5a01ee60f80&vjs=3,30+
no,AI Engineer (Intern),Schneider Electric,"Foxborough, MA 02035",3.9,No reported salary,www.indeed.com/rc/clk?jk=490e79beb61c1b8c&fccid=8dc4399ddb463d4a&vjs=3,30+
no,Graduate Student Intern - Machine Learning,LaunchBay,"North Billerica, MA 01862",No reported rating,Estimated $38.2K - $48.4K a year,www.indeed.com/rc/clk?jk=dc582b1e2a238c0f&fccid=b8cd1a2eb03d5efb&vjs=3,30+
no,Internship: Data-Driven Optimization for Building Energy Sys...,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (Area IV area)+1 location",4.4,Estimated $43.9K - $55.7K a year,www.indeed.com/viewjob?jk=0377c83c67ab5940,27
no,Data Science & Machine Learning Engineering Internship & Co-...,Wayfair,"Boston, MA",3.0,No reported salary,www.indeed.com/rc/clk?jk=c9978398d80e5931&fccid=95485c6456ed2114&vjs=3,30+
no,Data Science Engineer - Summer Internship,SS&C Technologies,"Waltham, MA",3.2,No reported salary,www.indeed.com/rc/clk?jk=c9da1c2fd89d9320&fccid=e02be59e87cd229c&vjs=3,30+
no,Internship: Data-Driven Optimization for Building Energy Sys...,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (Area IV area)+1 location",4.4,Estimated $43.9K - $55.7K a year,www.indeed.com/viewjob?jk=0377c83c67ab5940,28
no,newData Science Intern,Schneider Electric,"Andover, MA 01810",3.9,No reported salary,www.indeed.com/rc/clk?jk=9b8852d09df36fea&fccid=8dc4399ddb463d4a&vjs=3,2
no,Machine Learning Intern (Remote),Julia Computing,"Remote in Boston, MA",No reported rating,Estimated $42.4K - $53.8K a year,www.indeed.com/viewjob?jk=e32f139116ae1b79,14
no,Internship - Data Science and Machine Learning (Information...,Boston Public Health Commission,"Boston, MA 02118 (South Boston area)",3.9,Estimated $36.2K - $45.8K a year,www.indeed.com/rc/clk?jk=79c7b83a4baec630&fccid=44e4fc28fead4ab4&vjs=3,19
no,Computational Biology - Machine Learning Intern,Precidiag Inc.,"Watertown, MA 02472 (Bemis area)",No reported rating,No reported salary,www.indeed.com/viewjob?jk=5f2b3a5c4bc9d68d,2
no,Internship: Data-Driven Optimization for Building Energy Sys...,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (Area IV area)+1 location",4.4,Estimated $38.7K - $49.1K a year,www.indeed.com/viewjob?jk=0377c83c67ab5940,28
no,Internship: Quantum Machine Learning,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (The Port area)+1 location",4.4,Estimated $45.5K - $57.5K a year,www.indeed.com/rc/clk?jk=3b4e3897f0779398&fccid=585b71decee73f45&vjs=3,30+
no,newData Scientist Intern,Mimecast Services Limited,"Lexington, MA 02421",No reported rating,Estimated $50.3K - $63.7K a year,www.indeed.com/rc/clk?jk=df6a84e4a1007cf5&fccid=abbada07c18fd4be&vjs=3,2
no,Internship - Data Science and Machine Learning (Information...,Boston Public Health Commission,"Boston, MA 02118 (South Boston area)",3.9,Estimated $36.2K - $45.8K a year,www.indeed.com/rc/clk?jk=79c7b83a4baec630&fccid=44e4fc28fead4ab4&vjs=3,22
no,Machine Learning Intern (Remote),Julia Computing,"Remote in Boston, MA",No reported rating,Estimated $41.9K - $53.1K a year,www.indeed.com/viewjob?jk=e32f139116ae1b79,17
no,Computational Biology - Machine Learning Intern,Precidiag Inc.,"Watertown, MA 02472 (Bemis area)",No reported rating,No reported salary,www.indeed.com/viewjob?jk=5f2b3a5c4bc9d68d,1
no,Internship: Data-Driven Optimization for Building Energy Sys...,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (Area IV area)+1 location",4.4,Estimated $38.7K - $49.1K a year,www.indeed.com/viewjob?jk=0377c83c67ab5940,30+
no,newData Scientist Intern,Mimecast Services Limited,"Lexington, MA 02421",No reported rating,Estimated $50.3K - $63.7K a year,www.indeed.com/rc/clk?jk=df6a84e4a1007cf5&fccid=abbada07c18fd4be&vjs=3,4
no,Machine Learning Intern (Remote),Julia Computing,"Remote in Boston, MA",No reported rating,Estimated $41.9K - $53.1K a year,www.indeed.com/viewjob?jk=e32f139116ae1b79,19
no,Internship - Data Science and Machine Learning (Information...,Boston Public Health Commission,"Boston, MA 02118 (South Boston area)",3.9,Estimated $36.2K - $45.8K a year,www.indeed.com/rc/clk?jk=79c7b83a4baec630&fccid=44e4fc28fead4ab4&vjs=3,24
no,Graduate Student Intern - Machine Learning,LaunchBay,"North Billerica, MA 01862",No reported rating,Estimated $46.8K - $59.2K a year,www.indeed.com/rc/clk?jk=dc582b1e2a238c0f&fccid=b8cd1a2eb03d5efb&vjs=3,30+
no,Computational Biology - Machine Learning Intern,Precidiag Inc.,"Watertown, MA 02472 (Bemis area)",No reported rating,No reported salary,www.indeed.com/viewjob?jk=5f2b3a5c4bc9d68d,3
no,Internship: Quantum Machine Learning,Mitsubishi Electric Research Labs,"Cambridge, MA 02139 (The Port area)+1 location",4.4,Estimated $39.9K - $50.5K a year,www.indeed.com/rc/clk?jk=3b4e3897f0779398&fccid=585b71decee73f45&vjs=3,30+
